Id,DimMeasurementId,Axis,Measurement,Nominal,PositiveTolerance,NegativeTolerance,Bonus,Deviation,OutTolerance,OutToleranceBar,PlanId,PartNo,PlanProductId,Type,IdSymbol,WarningLimitCf,FeatureId,FeatureSigma,Comment,Link,LinkMode,Mmc,UserUpperTol,UserLowerTol,Fftphi,FftphiUnit,ZoneRoundnessAngle,GroupName,GroupName2,DatumAid,DatumBid,DatumCid,NatUpperTolId,NatLowerTolId,DecimalPlaces,FeaturePosX,FeaturePosY,FeaturePosZ,Unit,Confirmation,CreatedDate,UpdatedDate
2e3d5d1f-2752-4415-94e8-50f42d203862,62dc303d-a711-439c-a9ca-37fec430f73b,,-733.202.674,-73.0,0.3,-0.3,,-0.3202674,0.02026739999999999,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:39.867069,2022-01-18 10:00:39.867069
471478d9-8835-45ce-966a-44f68f9e5aea,ff0608dc-4fd1-45f6-aac5-5a526d5fbf13,,342.338.606,34.0,0.15,-0.15,,0.2338606,0.08386060000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:39.867069,2022-01-18 10:00:39.867069
2ccfe37e-57c8-42d3-86c1-73982fd6ae04,c98761a5-d051-41c6-9129-b9a90bbb29cc,,-8.734.499,-9.0,0.15,-0.15,,0.265501,0.11550099999999999,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:41.897706,2022-01-18 10:00:41.897706
73377ba0-246b-4577-95b5-7fffdd5f39c5,b5b2a85d-7da5-475b-9de3-f6f9d9b985c6,,-606.880.755,-61.0,0.3,-0.3,,0.3119245,0.011924500000000005,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:41.897706,2022-01-18 10:00:41.897706
961e4609-0877-41c2-8afa-73b44cd56868,ac277a28-329b-4273-b566-35616773b7a2,,-87.537.237,-9.0,0.15,-0.15,,0.2462763,0.09627630000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:41.897706,2022-01-18 10:00:41.897706
afd1e484-7f1d-4613-ba76-48b6a4e9d97e,e6ad95e3-0e9b-472d-88df-962a62dcd1ea,,0.5055299,0.0,0.3,0.0,,0.5055299,0.2055299,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:41.897706,2022-01-18 10:00:41.897706
c19766f0-aa14-4b9f-86d5-64d11de567a5,d5975839-61b9-451e-97d2-251e25743817,,0.5489332,0.0,0.3,0.0,,0.5489332,0.24893320000000002,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:41.897706,2022-01-18 10:00:41.897706
2a389862-e67d-4bdc-ada5-fb55dc4dbd6a,028ebab2-7a63-4c0b-97f8-e37f69690dc3,,-8.733.122,-9.0,0.15,-0.15,,0.266878,0.11687800000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:43.93881,2022-01-18 10:00:43.93881
6799f0d9-a205-42ea-a272-9216205cbf4b,dedbe7e0-bd30-49ee-a927-32783234d99f,,0.4930007,0.0,0.3,0.0,,0.4930007,0.19300070000000003,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:43.93881,2022-01-18 10:00:43.93881
7298ec94-5024-43e7-9328-d450a0873722,26c1294c-9e09-450d-9a39-0f968ba47b1e,,0.3019629,0.0,0.3,0.0,,0.3019629,0.0019628999999999897,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:43.93881,2022-01-18 10:00:43.93881
83741db3-35b4-438d-8597-05d36c7750cb,faea72b7-61c9-4be9-8580-20f37d552209,,0.545813,0.0,0.3,0.0,,0.545813,0.245813,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:43.93881,2022-01-18 10:00:43.93881
e817ba5b-84c1-40af-9f2a-a12dd646cfcc,82a1d85e-0800-4c64-92ad-1b525a18896b,,-87.562.573,-9.0,0.15,-0.15,,0.2437427,0.09374270000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:43.93881,2022-01-18 10:00:43.93881
